collaborator,type,latitude,longitude,Japanese_name
"Tsuji Lab, Univsersity of the Ryukyus",University,26.247714,127.765284,_________
"Yona Field Station, University of the Ryukyus",University,26.763152,128.21595,_______
"Kyushu Research Center, Forestry and Forest Products Research Institute",University,,,
Okinawa City Municipal Museum,Museum Partners,,,
Onna Village Museum,Museum Partners,26.436553,127.793365,______
The Nago Museum,Museum Partners,26.586481,127.986921,_____
The Higashi Museum,Museum Partners,26.641529,128.167093,____________
Chatan-cho,Museum Partners,,,______
Okinawa Prefectural Museum and Art Museum,Museum Partners,26.227603,127.69387,_______
Hentona High School,High School,26.703483,128.130858,_____
Futenma High School,High School,26.291651,127.777916,_____
Kyuyo High School,High School,26.319609,127.785201,____
Kaiho High School,High School,26.217686,127.732593,____
Urasoe High School,High School,26.237923,127.702796,____
